id_usuario,codigo_plantilla,tipo_alerta,nivel_riesgo,descripcion,accion_sugerida,requiere_derivacion,estado,metadata_json,creado_en
54,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 53.0, ""indice_riesgo"": 0.552}",2026-02-26 17:00:00
477,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 40.0, ""indice_riesgo"": 0.668}",2026-03-27 18:00:00
129,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 50.5, ""indice_riesgo"": 0.57}",2026-04-21 19:00:00
254,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 49.5, ""indice_riesgo"": 0.58}",2026-04-26 01:00:00
71,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_LABORAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 65.0, ""indice_riesgo"": 0.447}",2026-03-25 17:00:00
266,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 53.5, ""indice_riesgo"": 0.551}",2026-04-02 20:00:00
133,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 66.0, ""indice_riesgo"": 0.438}",2026-04-11 18:00:00
23,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 45.5, ""indice_riesgo"": 0.618}",2026-05-21 18:00:00
303,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 49.5, ""indice_riesgo"": 0.578}",2026-04-20 01:00:00
377,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_GENERAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 70.0, ""indice_riesgo"": 0.392}",2026-02-28 23:00:00
474,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.5, ""indice_riesgo"": 0.564}",2026-02-06 18:00:00
146,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 52.0, ""indice_riesgo"": 0.551}",2026-04-05 22:00:00
378,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 53.5, ""indice_riesgo"": 0.553}",2026-03-18 20:00:00
309,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.0, ""indice_riesgo"": 0.564}",2026-02-02 21:00:00
170,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 43.5, ""indice_riesgo"": 0.625}",2026-01-25 01:00:00
432,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 50.0, ""indice_riesgo"": 0.579}",2026-02-14 04:00:00
297,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 49.0, ""indice_riesgo"": 0.586}",2026-05-06 20:00:00
119,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_GENERAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 63.0, ""indice_riesgo"": 0.461}",2026-04-08 19:00:00
261,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.5, ""indice_riesgo"": 0.56}",2026-04-25 19:00:00
228,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 49.5, ""indice_riesgo"": 0.563}",2026-01-30 20:00:00
294,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.0, ""indice_riesgo"": 0.563}",2026-05-17 03:00:00
120,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 52.5, ""indice_riesgo"": 0.55}",2026-06-12 23:00:00
324,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 55.5, ""indice_riesgo"": 0.533}",2026-03-02 23:00:00
169,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 49.5, ""indice_riesgo"": 0.575}",2026-04-27 04:00:00
374,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 45.0, ""indice_riesgo"": 0.611}",2026-06-15 23:00:00
314,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 71.5, ""indice_riesgo"": 0.379}",2026-01-30 17:00:00
289,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 59.0, ""indice_riesgo"": 0.497}",2026-03-31 03:00:00
98,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 50.0, ""indice_riesgo"": 0.567}",2026-03-14 23:00:00
459,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_GENERAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 57.0, ""indice_riesgo"": 0.519}",2026-06-11 20:00:00
17,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 54.0, ""indice_riesgo"": 0.55}",2026-01-26 04:00:00
17,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 60.0, ""indice_riesgo"": 0.494}",2026-03-09 22:00:00
87,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.0, ""indice_riesgo"": 0.568}",2026-02-14 23:00:00
264,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_GENERAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 55.0, ""indice_riesgo"": 0.534}",2026-05-11 16:00:00
337,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.0, ""indice_riesgo"": 0.563}",2026-04-24 23:00:00
454,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 53.0, ""indice_riesgo"": 0.555}",2026-02-25 16:00:00
459,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 53.5, ""indice_riesgo"": 0.537}",2026-02-20 22:00:00
341,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 47.0, ""indice_riesgo"": 0.599}",2026-02-09 03:00:00
346,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 52.0, ""indice_riesgo"": 0.553}",2026-05-28 01:00:00
327,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_GENERAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 64.0, ""indice_riesgo"": 0.443}",2026-03-06 18:00:00
497,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.5, ""indice_riesgo"": 0.574}",2026-02-08 19:00:00
34,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 50.5, ""indice_riesgo"": 0.577}",2026-02-19 18:00:00
281,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 65.5, ""indice_riesgo"": 0.431}",2026-05-11 18:00:00
432,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 65.5, ""indice_riesgo"": 0.431}",2026-05-05 22:00:00
218,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 56.0, ""indice_riesgo"": 0.528}",2026-03-20 21:00:00
294,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_GENERAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 63.0, ""indice_riesgo"": 0.453}",2026-06-25 21:00:00
386,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.0, ""indice_riesgo"": 0.561}",2026-04-19 04:00:00
258,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 63.5, ""indice_riesgo"": 0.442}",2026-01-31 18:00:00
304,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 48.5, ""indice_riesgo"": 0.587}",2026-02-03 01:00:00
49,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 52.5, ""indice_riesgo"": 0.554}",2026-04-29 01:00:00
94,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en ACOMPANAMIENTO_ACADEMICO.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 53.0, ""indice_riesgo"": 0.54}",2026-03-20 23:00:00
497,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 53.5, ""indice_riesgo"": 0.555}",2026-01-18 16:00:00
353,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 52.5, ""indice_riesgo"": 0.557}",2026-05-27 18:00:00
100,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_LABORAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 64.0, ""indice_riesgo"": 0.465}",2026-01-25 21:00:00
316,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 50.0, ""indice_riesgo"": 0.565}",2026-05-23 04:00:00
54,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 50.5, ""indice_riesgo"": 0.564}",2026-03-03 19:00:00
109,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_LABORAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 61.5, ""indice_riesgo"": 0.48}",2026-02-13 20:00:00
26,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.0, ""indice_riesgo"": 0.562}",2026-06-17 19:00:00
69,ACOMPANAMIENTO_ACADEMICO,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en ACOMPANAMIENTO_ACADEMICO.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.0, ""indice_riesgo"": 0.574}",2026-03-13 17:00:00
416,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 53.0, ""indice_riesgo"": 0.56}",2026-01-25 23:00:00
157,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 50.5, ""indice_riesgo"": 0.57}",2026-06-23 22:00:00
467,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 50.5, ""indice_riesgo"": 0.567}",2026-06-30 19:00:00
106,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_LABORAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 58.0, ""indice_riesgo"": 0.498}",2026-04-22 22:00:00
37,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.5, ""indice_riesgo"": 0.56}",2026-03-17 04:00:00
381,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.0, ""indice_riesgo"": 0.576}",2026-06-22 17:00:00
244,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 46.5, ""indice_riesgo"": 0.608}",2026-07-08 01:00:00
148,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_LABORAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 55.5, ""indice_riesgo"": 0.521}",2026-01-31 16:00:00
245,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_GENERAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 63.0, ""indice_riesgo"": 0.469}",2026-04-11 19:00:00
489,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_LABORAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 61.5, ""indice_riesgo"": 0.474}",2026-05-20 02:00:00
380,BIENESTAR_LABORAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_LABORAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.5, ""indice_riesgo"": 0.568}",2026-05-30 04:00:00
324,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Alto,Check-in nivel Alto en BIENESTAR_GENERAL.,Estoy viendo indicadores altos de riesgo. Es importante que hables con un tutor.,1,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 51.5, ""indice_riesgo"": 0.566}",2026-02-25 01:00:00
304,BIENESTAR_GENERAL,RIESGO_BIENESTAR,Medio,Check-in nivel Medio en BIENESTAR_GENERAL.,Noto que hay áreas que podrían mejorar. ¿Te gustaría hablar más sobre el estrés?,0,PENDIENTE,"{""crisis_911"": false, ""bienestar_score"": 63.5, ""indice_riesgo"": 0.46}",2026-01-19 17:00:00
