id_alumno,id_periodo,nivel_riesgo,puntaje_riesgo,descripcion,recomendacion,atendida,modelo_version,factores_json,explicacion,estado_seguimiento,responsable_id,revisado_en
27,1,Bajo,11.44,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 11.44, ""detalle"": ""Promedio=83.50, Reprobadas=0""}]","Promedio=83.50, Reprobadas=0, Tendencia=Mejora",Pendiente,,
33,1,Medio,25.7,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 25.7, ""detalle"": ""Promedio=71.00, Reprobadas=1""}]","Promedio=71.00, Reprobadas=1, Tendencia=Mejora",Pendiente,,
35,1,Alto,54.02,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 54.02, ""detalle"": ""Promedio=67.44, Reprobadas=4""}]","Promedio=67.44, Reprobadas=4, Tendencia=Mejora",Pendiente,,
40,1,Alto,60.0,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 60.0, ""detalle"": ""Promedio=66.56, Reprobadas=5""}]","Promedio=66.56, Reprobadas=5, Tendencia=Mejora",Pendiente,,
41,1,Alto,74.7,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 74.7, ""detalle"": ""Promedio=65.78, Reprobadas=5""}]","Promedio=65.78, Reprobadas=5, Tendencia=Mejora",Pendiente,,
46,1,Critico,99.0,Predicción sintética: riesgo Critico,"Canalizar de inmediato a tutoría, coordinación y control escolar.",0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 99.0, ""detalle"": ""Promedio=59.64, Reprobadas=8""}]","Promedio=59.64, Reprobadas=8, Tendencia=Mejora",Pendiente,,
48,1,Medio,41.16,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 41.16, ""detalle"": ""Promedio=75.32, Reprobadas=3""}]","Promedio=75.32, Reprobadas=3, Tendencia=Mejora",Pendiente,,
50,1,Medio,46.72,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 46.72, ""detalle"": ""Promedio=71.79, Reprobadas=4""}]","Promedio=71.79, Reprobadas=4, Tendencia=Mejora",Pendiente,,
54,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=79.51, Reprobadas=0""}]","Promedio=79.51, Reprobadas=0, Tendencia=Mejora",Pendiente,,
61,1,Medio,29.97,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 29.97, ""detalle"": ""Promedio=75.03, Reprobadas=2""}]","Promedio=75.03, Reprobadas=2, Tendencia=Mejora",Pendiente,,
62,1,Alto,65.98,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 65.98, ""detalle"": ""Promedio=65.56, Reprobadas=3""}]","Promedio=65.56, Reprobadas=3, Tendencia=Declive",Pendiente,,
65,1,Bajo,14.3,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 14.3, ""detalle"": ""Promedio=74.86, Reprobadas=0""}]","Promedio=74.86, Reprobadas=0, Tendencia=Estable",Pendiente,,
67,1,Critico,99.0,Predicción sintética: riesgo Critico,"Canalizar de inmediato a tutoría, coordinación y control escolar.",0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 99.0, ""detalle"": ""Promedio=59.87, Reprobadas=9""}]","Promedio=59.87, Reprobadas=9, Tendencia=Declive",Pendiente,,
68,1,Critico,99.0,Predicción sintética: riesgo Critico,"Canalizar de inmediato a tutoría, coordinación y control escolar.",0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 99.0, ""detalle"": ""Promedio=56.44, Reprobadas=10""}]","Promedio=56.44, Reprobadas=10, Tendencia=Mejora",Pendiente,,
70,1,Alto,74.7,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 74.7, ""detalle"": ""Promedio=66.17, Reprobadas=5""}]","Promedio=66.17, Reprobadas=5, Tendencia=Mejora",Pendiente,,
73,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=86.34, Reprobadas=0""}]","Promedio=86.34, Reprobadas=0, Tendencia=Mejora",Pendiente,,
78,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=81.62, Reprobadas=0""}]","Promedio=81.62, Reprobadas=0, Tendencia=Mejora",Pendiente,,
80,1,Bajo,13.69,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 13.69, ""detalle"": ""Promedio=80.65, Reprobadas=1""}]","Promedio=80.65, Reprobadas=1, Tendencia=Mejora",Pendiente,,
81,1,Alto,65.98,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 65.98, ""detalle"": ""Promedio=63.95, Reprobadas=3""}]","Promedio=63.95, Reprobadas=3, Tendencia=Declive",Pendiente,,
83,1,Critico,93.54,Predicción sintética: riesgo Critico,"Canalizar de inmediato a tutoría, coordinación y control escolar.",0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 93.54, ""detalle"": ""Promedio=57.29, Reprobadas=5""}]","Promedio=57.29, Reprobadas=5, Tendencia=Declive",Pendiente,,
88,1,Bajo,24.7,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 24.7, ""detalle"": ""Promedio=77.99, Reprobadas=2""}]","Promedio=77.99, Reprobadas=2, Tendencia=Mejora",Pendiente,,
89,1,Medio,34.69,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 34.69, ""detalle"": ""Promedio=70.46, Reprobadas=3""}]","Promedio=70.46, Reprobadas=3, Tendencia=Mejora",Pendiente,,
96,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=82.17, Reprobadas=0""}]","Promedio=82.17, Reprobadas=0, Tendencia=Mejora",Pendiente,,
103,1,Alto,74.7,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 74.7, ""detalle"": ""Promedio=66.62, Reprobadas=5""}]","Promedio=66.62, Reprobadas=5, Tendencia=Mejora",Pendiente,,
105,1,Bajo,20.16,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 20.16, ""detalle"": ""Promedio=76.57, Reprobadas=2""}]","Promedio=76.57, Reprobadas=2, Tendencia=Mejora",Pendiente,,
109,1,Alto,54.02,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 54.02, ""detalle"": ""Promedio=68.65, Reprobadas=4""}]","Promedio=68.65, Reprobadas=4, Tendencia=Mejora",Pendiente,,
115,1,Critico,80.18,Predicción sintética: riesgo Critico,"Canalizar de inmediato a tutoría, coordinación y control escolar.",0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 80.18, ""detalle"": ""Promedio=67.44, Reprobadas=6""}]","Promedio=67.44, Reprobadas=6, Tendencia=Mejora",Pendiente,,
119,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=83.95, Reprobadas=0""}]","Promedio=83.95, Reprobadas=0, Tendencia=Mejora",Pendiente,,
125,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=84.80, Reprobadas=0""}]","Promedio=84.80, Reprobadas=0, Tendencia=Mejora",Pendiente,,
127,1,Medio,25.7,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 25.7, ""detalle"": ""Promedio=73.29, Reprobadas=1""}]","Promedio=73.29, Reprobadas=1, Tendencia=Mejora",Pendiente,,
130,1,Medio,28.86,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 28.86, ""detalle"": ""Promedio=74.52, Reprobadas=3""}]","Promedio=74.52, Reprobadas=3, Tendencia=Mejora",Pendiente,,
132,1,Alto,61.5,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 61.5, ""detalle"": ""Promedio=69.19, Reprobadas=4""}]","Promedio=69.19, Reprobadas=4, Tendencia=Mejora",Pendiente,,
135,1,Alto,80.18,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 80.18, ""detalle"": ""Promedio=74.24, Reprobadas=6""}]","Promedio=74.24, Reprobadas=6, Tendencia=Mejora",Pendiente,,
138,1,Bajo,13.69,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 13.69, ""detalle"": ""Promedio=87.27, Reprobadas=1""}]","Promedio=87.27, Reprobadas=1, Tendencia=Mejora",Pendiente,,
141,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=88.64, Reprobadas=0""}]","Promedio=88.64, Reprobadas=0, Tendencia=Mejora",Pendiente,,
142,1,Bajo,24.7,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 24.7, ""detalle"": ""Promedio=73.68, Reprobadas=2""}]","Promedio=73.68, Reprobadas=2, Tendencia=Mejora",Pendiente,,
143,1,Medio,28.86,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 28.86, ""detalle"": ""Promedio=74.10, Reprobadas=3""}]","Promedio=74.10, Reprobadas=3, Tendencia=Mejora",Pendiente,,
146,1,Medio,39.82,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 39.82, ""detalle"": ""Promedio=73.45, Reprobadas=4""}]","Promedio=73.45, Reprobadas=4, Tendencia=Mejora",Pendiente,,
147,1,Medio,38.5,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 38.5, ""detalle"": ""Promedio=77.16, Reprobadas=2""}]","Promedio=77.16, Reprobadas=2, Tendencia=Declive",Pendiente,,
152,1,Medio,48.16,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 48.16, ""detalle"": ""Promedio=74.64, Reprobadas=3""}]","Promedio=74.64, Reprobadas=3, Tendencia=Mejora",Pendiente,,
154,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=81.47, Reprobadas=0""}]","Promedio=81.47, Reprobadas=0, Tendencia=Mejora",Pendiente,,
156,1,Medio,48.16,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 48.16, ""detalle"": ""Promedio=74.12, Reprobadas=3""}]","Promedio=74.12, Reprobadas=3, Tendencia=Mejora",Pendiente,,
157,1,Bajo,13.69,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 13.69, ""detalle"": ""Promedio=84.28, Reprobadas=1""}]","Promedio=84.28, Reprobadas=1, Tendencia=Mejora",Pendiente,,
158,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=83.80, Reprobadas=0""}]","Promedio=83.80, Reprobadas=0, Tendencia=Mejora",Pendiente,,
168,1,Medio,25.7,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 25.7, ""detalle"": ""Promedio=78.59, Reprobadas=1""}]","Promedio=78.59, Reprobadas=1, Tendencia=Mejora",Pendiente,,
170,1,Bajo,17.02,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 17.02, ""detalle"": ""Promedio=72.47, Reprobadas=1""}]","Promedio=72.47, Reprobadas=1, Tendencia=Mejora",Pendiente,,
172,1,Medio,25.7,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 25.7, ""detalle"": ""Promedio=78.29, Reprobadas=1""}]","Promedio=78.29, Reprobadas=1, Tendencia=Mejora",Pendiente,,
174,1,Medio,28.86,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 28.86, ""detalle"": ""Promedio=71.03, Reprobadas=3""}]","Promedio=71.03, Reprobadas=3, Tendencia=Mejora",Pendiente,,
175,1,Medio,48.16,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 48.16, ""detalle"": ""Promedio=65.15, Reprobadas=3""}]","Promedio=65.15, Reprobadas=3, Tendencia=Mejora",Pendiente,,
178,1,Alto,57.0,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 57.0, ""detalle"": ""Promedio=63.67, Reprobadas=4""}]","Promedio=63.67, Reprobadas=4, Tendencia=Declive",Pendiente,,
182,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=89.84, Reprobadas=0""}]","Promedio=89.84, Reprobadas=0, Tendencia=Mejora",Pendiente,,
191,1,Bajo,22.8,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 22.8, ""detalle"": ""Promedio=81.58, Reprobadas=1""}]","Promedio=81.58, Reprobadas=1, Tendencia=Declive",Pendiente,,
194,1,Alto,52.54,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 52.54, ""detalle"": ""Promedio=74.53, Reprobadas=2""}]","Promedio=74.53, Reprobadas=2, Tendencia=Declive",Pendiente,,
195,1,Bajo,13.69,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 13.69, ""detalle"": ""Promedio=74.18, Reprobadas=1""}]","Promedio=74.18, Reprobadas=1, Tendencia=Estable",Pendiente,,
196,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=82.59, Reprobadas=0""}]","Promedio=82.59, Reprobadas=0, Tendencia=Mejora",Pendiente,,
197,1,Bajo,13.69,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 13.69, ""detalle"": ""Promedio=79.47, Reprobadas=1""}]","Promedio=79.47, Reprobadas=1, Tendencia=Mejora",Pendiente,,
200,1,Bajo,15.61,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 15.61, ""detalle"": ""Promedio=82.55, Reprobadas=0""}]","Promedio=82.55, Reprobadas=0, Tendencia=Declive",Pendiente,,
201,1,Bajo,20.16,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 20.16, ""detalle"": ""Promedio=74.91, Reprobadas=2""}]","Promedio=74.91, Reprobadas=2, Tendencia=Mejora",Pendiente,,
204,1,Medio,28.86,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 28.86, ""detalle"": ""Promedio=68.50, Reprobadas=3""}]","Promedio=68.50, Reprobadas=3, Tendencia=Mejora",Pendiente,,
205,1,Alto,74.7,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 74.7, ""detalle"": ""Promedio=63.84, Reprobadas=5""}]","Promedio=63.84, Reprobadas=5, Tendencia=Mejora",Pendiente,,
207,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=76.39, Reprobadas=0""}]","Promedio=76.39, Reprobadas=0, Tendencia=Mejora",Pendiente,,
208,1,Medio,28.86,Predicción sintética: riesgo Medio,Monitorear el desempeño y reforzar acompañamiento académico preventivo.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 28.86, ""detalle"": ""Promedio=64.26, Reprobadas=3""}]","Promedio=64.26, Reprobadas=3, Tendencia=Mejora",Pendiente,,
210,1,Critico,98.99,Predicción sintética: riesgo Critico,"Canalizar de inmediato a tutoría, coordinación y control escolar.",0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 98.99, ""detalle"": ""Promedio=73.27, Reprobadas=6""}]","Promedio=73.27, Reprobadas=6, Tendencia=Declive",Pendiente,,
211,1,Bajo,15.61,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 15.61, ""detalle"": ""Promedio=89.91, Reprobadas=0""}]","Promedio=89.91, Reprobadas=0, Tendencia=Declive",Pendiente,,
215,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=81.10, Reprobadas=0""}]","Promedio=81.10, Reprobadas=0, Tendencia=Mejora",Pendiente,,
218,1,Bajo,9.1,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 9.1, ""detalle"": ""Promedio=79.20, Reprobadas=0""}]","Promedio=79.20, Reprobadas=0, Tendencia=Mejora",Pendiente,,
219,1,Bajo,21.01,Predicción sintética: riesgo Bajo,Mantener seguimiento normal y reforzar hábitos de estudio.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 21.01, ""detalle"": ""Promedio=77.92, Reprobadas=1""}]","Promedio=77.92, Reprobadas=1, Tendencia=Mejora",Pendiente,,
220,1,Alto,51.07,Predicción sintética: riesgo Alto,Programar seguimiento académico prioritario y contacto con el alumno dentro de 48 horas.,0,synthetic-v1,"[{""factor"": ""Generaci\u00f3n sint\u00e9tica"", ""peso"": 51.07, ""detalle"": ""Promedio=70.58, Reprobadas=3""}]","Promedio=70.58, Reprobadas=3, Tendencia=Declive",Pendiente,,
